ID,Name,HP,ATK,DEF,AGR,Lv,Exp,SkilID1,Alive
0,アキラ,100,35,10,10,1,0,1001,TRUE
1,エル,90,28,15,20,1,0,2001,TRUE
2,アリア,140,18,10,18,1,0,3001,TRUE
3,ピノ,90,22,18,25,1,0,4001,TRUE
4,カゲ,100,25,10,32,1,0,5001,TRUE
5,ライゼル,110,30,15,15,1,0,6001,TRUE
6,エリナ,120,15,12,22,1,0,7001,TRUE
7,アルデウス,95,38,12,18,1,0,8001,TRUE
8,アルディナ,85,32,10,20,1,0,9001,TRUE
100,Zoth=Ommog,610,124,22,32,8,12000,9999,TRUE
101,Ythogtha,4600,830,230,62,17,15000,9999,TRUE
102,Cthulhu,16200,3150,2260,620,28,30000,9999,TRUE
103,Ghoul,230,28,12,18,5,6000,9999,TRUE
